ID,Sentiment
1240825611544920064,NEUTRAL
1240827463162306560,NEUTRAL
1240828069469982720,NEUTRAL
1240813351946653696,NEUTRAL
1240804304463822848,POSITIVE
1240831091973464064,POSITIVE
1240793578730856448,NEGATIVE
1240829118578479104,NEUTRAL
1240791840640700416,NEUTRAL
1240820811281375232,NEUTRAL
1240815975118696448,NEUTRAL
1240799104009150464,NEUTRAL
1240811602145947648,POSITIVE
1240808718326853632,NEGATIVE
1240830117913538560,NEUTRAL
1240803930780516352,NEUTRAL
1240807368386056192,NEUTRAL
1240813322028470272,NEUTRAL
1240804809999110144,NEUTRAL
1240795135035744256,POSITIVE
1240800661882785792,POSITIVE
1240793052261658624,NEUTRAL
1240792515269267456,NEGATIVE
1240794576576819200,NEUTRAL
1240820887919738880,NEUTRAL
1240801158240907264,POSITIVE
1240819088433217536,POSITIVE
1240808273009229824,POSITIVE
1240807740542537728,NEGATIVE
1240818293109293056,NEUTRAL
1240795363373654016,NEGATIVE
1241017086048075776,MIXED
1241017106960875520,NEUTRAL
1241068075425857536,NEUTRAL
1240836971758485504,NEUTRAL
1241055435047628800,NEUTRAL
1241077350424608768,MIXED
1241096761512468480,POSITIVE
1241054418591797248,NEUTRAL
1241018272482504704,NEUTRAL
1240862858667274240,POSITIVE
1241097342033498112,NEUTRAL
1241036740758048768,NEUTRAL
1241093266717782016,NEUTRAL
1241081403930017792,NEUTRAL
1240931012575707136,POSITIVE
1240889421739757568,NEGATIVE
1241078698574524416,NEUTRAL
1241096176071573504,NEUTRAL
1241050742468669440,POSITIVE
1241076383138398208,MIXED
1240864449843671040,POSITIVE
1241047980536455168,NEUTRAL
1241078476372934656,NEUTRAL
1240954324185944064,NEUTRAL
1241002996097572864,NEUTRAL
1241065882694156288,POSITIVE
1241018621113053184,NEUTRAL
1241023389755719680,NEUTRAL
1240831537081434112,NEUTRAL
1240841581533503488,NEUTRAL
1241080025371144192,POSITIVE
1241078441748959232,POSITIVE
1241049114445578240,POSITIVE
1240943218881159168,NEUTRAL
1241051993248063488,NEUTRAL
1240861270062088192,NEUTRAL
1240849976500125696,NEUTRAL
1241080307983548416,POSITIVE
1240969129034686464,NEUTRAL
1240928395556466688,POSITIVE
1240928691141652480,POSITIVE
1241023957924335616,POSITIVE
1241031311000768512,NEGATIVE
1241065789786030080,NEUTRAL
1240938332500168704,POSITIVE
1240868493555195904,NEUTRAL
1240854588644876288,NEUTRAL
1240960105824292864,NEUTRAL
1241063706852757504,NEUTRAL
1240979267938177024,NEUTRAL
1240870872551960576,POSITIVE
1241036413031698432,NEGATIVE
1240853628417499136,NEUTRAL
1241088551443410944,NEUTRAL
1240875910808719360,NEUTRAL
1241039506498818048,NEUTRAL
1241055746424328192,NEUTRAL
1240994050066399232,POSITIVE
1241093600227647488,NEUTRAL
1240841592539361280,NEUTRAL
1240831282235482112,NEUTRAL
1241098330169638912,NEUTRAL
1241018972880785408,NEUTRAL
1241033827776114688,NEUTRAL
1240860889848451072,NEUTRAL
1240854599486980096,POSITIVE
1241040449512620032,POSITIVE
1241092890337652736,NEUTRAL
1241095011615281152,NEUTRAL
1240895338740879360,POSITIVE
1241018195554770944,NEUTRAL
1240976794485956608,POSITIVE
1240884156898381824,NEUTRAL
1240872207221473280,POSITIVE
1241033841839661056,NEGATIVE
1241019125109067776,NEUTRAL
1240874145082232832,NEUTRAL
1240835447309418496,NEGATIVE
1240855328876630016,NEUTRAL
1241077413041364992,POSITIVE
1241085109593411584,NEUTRAL
1240836327450595328,POSITIVE
1240871384168796160,NEGATIVE
1240966806522810368,POSITIVE
1241056889917620224,NEUTRAL
1241038417179394048,NEUTRAL
1241033465639862272,POSITIVE
1240856087064203264,POSITIVE
1241017174744940544,NEGATIVE
1241071016329256960,POSITIVE
1241100616962801664,NEUTRAL
1240916378946863104,NEUTRAL
1240838701711790080,NEUTRAL
1241101989653680128,NEUTRAL
1241118554692427776,NEUTRAL
1241112532426915840,NEUTRAL
1241102368625868800,NEUTRAL
1241135618354302976,NEUTRAL
1241112780264083456,NEUTRAL
1241135069273743360,POSITIVE
1241142810109247488,POSITIVE
1241136704385241088,POSITIVE
1241115815493218304,NEUTRAL
1241126695291301888,NEUTRAL
1241133912283172864,NEUTRAL
1241116877524525056,NEUTRAL
