ID,Sentiment
1241515400912941056,NEGATIVE
1241542556971909120,NEUTRAL
1241807788499705856,NEUTRAL
1241586392519639040,NEUTRAL
1241711513339080704,NEUTRAL
1241556481117491200,POSITIVE
1241815047141240832,NEUTRAL
1241607713101975552,POSITIVE
1241596995510439936,NEUTRAL
1241597374679543808,POSITIVE
1241603793864843264,NEUTRAL
1241660578558599168,POSITIVE
1241655525986664448,NEUTRAL
1241786218771369984,NEUTRAL
1241556160475549696,NEUTRAL
1241652713714221056,NEUTRAL
1241754699956719616,NEUTRAL
1241787276834766848,POSITIVE
1241547402252890112,NEUTRAL
1241809556344373248,NEUTRAL
1241800224038727680,NEUTRAL
1241523821561159680,POSITIVE
1241525315920375808,POSITIVE
1241566812715786240,NEUTRAL
1241807700033495040,POSITIVE
1241558145916428288,POSITIVE
1241518125557977088,NEUTRAL
1241819902819827712,NEGATIVE
1241806180910919680,POSITIVE
1241742614703063040,NEUTRAL
1241611632448606208,NEUTRAL
1241785630427938816,NEUTRAL
1241792247215071232,NEUTRAL
1241535252511801344,POSITIVE
1241806561187635200,POSITIVE
1241780506083155968,NEUTRAL
1241770291568807936,POSITIVE
1241719878760964096,NEUTRAL
1241828705703526400,NEUTRAL
1241532247968296960,NEUTRAL
1241572345669660672,NEUTRAL
1241520719982481408,NEUTRAL
1241534328707956736,NEUTRAL
1241533639525105664,NEUTRAL
1241528415418630144,NEUTRAL
1241564664275841024,NEUTRAL
1241755990141394944,NEUTRAL
1241714939070423040,NEUTRAL
1241518561992073216,NEUTRAL
1241788171744092160,POSITIVE
1241538092378525696,NEUTRAL
1241820439942270976,NEUTRAL
1241574419102924800,NEUTRAL
1241798671961935872,POSITIVE
1241531672430067712,NEUTRAL
1241780622676447232,NEUTRAL
1241519523762757632,NEUTRAL
1241727928360148992,NEUTRAL
1241792392610496512,NEUTRAL
1241587012248965120,NEGATIVE
1241796617688297472,NEUTRAL
1241547393813884928,NEUTRAL
1241737677847789568,POSITIVE
1241801520745717760,NEUTRAL
1241809979641868288,POSITIVE
1241795309765898240,NEUTRAL
1241812331002241024,NEUTRAL
1241739696889384960,POSITIVE
1241578687834849280,NEUTRAL
1241775518036430848,POSITIVE
1241816297031323648,NEUTRAL
1241694521529757696,NEUTRAL
1241568838166237184,POSITIVE
1241785318136676352,POSITIVE
1241722885653385216,POSITIVE
1241752845541654528,NEUTRAL
1241540589662937088,NEUTRAL
1241745438191034368,NEUTRAL
1241790337279905792,POSITIVE
1241523819845545984,POSITIVE
1241553812525064192,NEUTRAL
1241798994390667264,NEUTRAL
1241629933979357184,NEUTRAL
1241524274663481344,NEGATIVE
1241527482026729472,NEUTRAL
1241793411931410432,NEUTRAL
1241521837999259648,NEUTRAL
1241537229186568192,NEUTRAL
1241589304322818048,POSITIVE
1241744785599336448,POSITIVE
1241541647894228992,NEUTRAL
1241742917909319680,NEUTRAL
1241537454613512192,NEUTRAL
1241742177417469952,NEUTRAL
1241526572819124224,NEUTRAL
1241804053572718592,NEUTRAL
1241864745298399232,NEUTRAL
1241853020733878272,NEUTRAL
1241840944904798208,NEUTRAL
1241871490062188544,NEUTRAL
1241835676884033536,POSITIVE
1241870236606963712,NEUTRAL
