ID,Sentiment
1233421979996213248,NEUTRAL
1233434302148333568,NEUTRAL
1233525761136635904,NEUTRAL
1233526565692153856,POSITIVE
1233527069793013760,NEGATIVE
1233538302747258880,NEGATIVE
1233527028277809152,NEUTRAL
1233536473074409472,NEGATIVE
1233526491474022400,NEGATIVE
1233538423044001792,NEGATIVE
1233524478568587264,NEGATIVE
1233421948648071168,NEUTRAL
1233526566065516544,NEUTRAL
1233526649397764096,NEUTRAL
1233526871855333376,NEUTRAL
1233523753495277568,NEUTRAL
1233412931418718208,NEGATIVE
1233527031234801664,NEGATIVE
1233538366106488832,NEUTRAL
1233419741437448192,NEUTRAL
1233525987549175808,NEUTRAL
1233523538159599616,POSITIVE
1233434306996891648,NEGATIVE
1233537361839108096,NEGATIVE
1233420665572773888,NEGATIVE
1233523742636150784,POSITIVE
1233538311559532544,POSITIVE
1233422003350097920,NEUTRAL
1233523553703731200,POSITIVE
1233537908000337920,NEUTRAL
1233405650807377920,POSITIVE
1233537471532748800,NEUTRAL
1233523776446500864,NEGATIVE
1233523730653073408,NEUTRAL
1233523644044738560,NEUTRAL
1233523547571675136,NEUTRAL
1233421109569171456,POSITIVE
1233527791808864256,NEUTRAL
1233420434957361152,NEUTRAL
1233527291441012736,NEUTRAL
1233537338917126144,POSITIVE
1233463457829335040,NEUTRAL
1233437644513775616,NEUTRAL
1233460554154545152,NEGATIVE
1233438890561802240,NEGATIVE
1233457094130651136,NEUTRAL
1233459816447795200,NEUTRAL
1233438978638073856,NEGATIVE
1233389901216919552,NEUTRAL
1233451242673725440,NEUTRAL
1233461028337389568,NEUTRAL
1233440815722176512,NEUTRAL
1233440849972756480,NEUTRAL
1233464001075519488,NEGATIVE
1233459632615587840,NEGATIVE
1233370477017673728,NEUTRAL
1233461433876217856,NEUTRAL
1233463900286464000,NEUTRAL
1233369345310457856,NEGATIVE
1233438563968180224,NEGATIVE
1233462241288216576,NEUTRAL
1233446034317217792,NEGATIVE
1233462458523758592,NEUTRAL
1233393629013647360,NEUTRAL
1233392980444229632,MIXED
1233463106560503808,NEUTRAL
1233460105225654272,NEUTRAL
1233393075688312832,POSITIVE
1233393312050143232,NEGATIVE
1233464141098164224,NEGATIVE
1233460500232646656,NEGATIVE
1233460315414679552,NEGATIVE
1233445487954612224,NEUTRAL
1233460369039003648,NEGATIVE
1233385820175917056,NEGATIVE
1233368074545487872,NEGATIVE
1233393236670062592,MIXED
1233448353599541248,NEGATIVE
1233459782301949952,NEGATIVE
1233456041993625600,NEUTRAL
1233393227627147264,NEUTRAL
1233464216402776064,NEUTRAL
1233393165450629120,NEUTRAL
1233370511796772864,NEUTRAL
1233462256651788288,NEGATIVE
1233440748751802368,NEGATIVE
1233451708367458304,NEGATIVE
1233447085409783808,NEGATIVE
1233393256790097920,NEUTRAL
1233463864546746368,NEGATIVE
1233445353271300096,NEUTRAL
1233450532028796928,NEGATIVE
1233463124663115776,NEUTRAL
1233447439983529984,NEUTRAL
1233460359715008512,NEGATIVE
1233393362914467840,NEUTRAL
1233393353124806656,NEUTRAL
1233463917906735104,NEGATIVE
1233392769932152832,NEUTRAL
1233450183054254080,POSITIVE
1233459975219007488,NEGATIVE
1233439111614226432,NEUTRAL
1233460479793733632,NEGATIVE
1233462247957069824,NEGATIVE
1233448352085352448,NEUTRAL
1233460012531449856,NEGATIVE
1233369299898765312,NEGATIVE
1233393574735073280,NEGATIVE
1233371227995148288,NEGATIVE
1233462059146280960,NEUTRAL
1233462848178667520,NEGATIVE
1233441391126208512,NEUTRAL
1233441466413932544,NEUTRAL
1233441021393920000,NEUTRAL
1233425850231611392,NEGATIVE
1233439743112810496,POSITIVE
